",""text"",""favorited"",""favoriteCount"",""replyToSN"",""created"",""truncated"",""replyToSID"",""id"",""replyToUID"",""statusSource"",""screenName"",""retweetCount"",""isRetweet"",""retweeted"",""longitude"",""latitude""";;;
"42,""Matt Lauer has always made my skin crawl. #NoSurprise about his canning. But I swear to god, if I wake up tomorrow https://t.co/zilyT39OeR"",FALSE,0,NA,""11/29/17 23:54"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""missremington"",0,FALSE,FALSE,NA,NA";;;
"43,""It's important to remember that even though #metoo is emboldening some women to come forward about sex abuse in the https://t.co/UKGN9rSn0H"",FALSE,41,NA,""11/29/17 23:54"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",""rachelndeleon"",35,FALSE,FALSE,NA,NA";;;
"44,""Insteading of saying """"oh no! I'm so sad blank celebrity assaulted women"""" how about we say """"oh,how sad for those wom https://t.co/Rw6MTexEPx"",FALSE,7,NA,""11/29/17 23:54"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",""Meamoore1391"",0,FALSE,FALSE,NA,NA";;;
"45,""@DannyZuker @realDonaldTrump Yeah, me too. #MeToo"",FALSE,0,""DannyZuker"",""11/29/17 23:53"",FALSE,9.36e+17,9.36e+17,22080646,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""RibaSusan"",0,FALSE,FALSE,NA,NA";;;
"46,""NOW on this day EVERYONE at work has a #MeToo story about #SexHarassment by Superiors. OK. Girl. #CarryOn. I just want the written policy."",FALSE,0,NA,""11/29/17 23:53"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""ChanaDoreaux"",0,FALSE,FALSE,NA,NA";;;
"47,""Thinking of @AnnCurry and the unpleasantness Matt Lauer put her through years ago.  He kept his job then.  Do not k https://t.co/nTMbSfV7iV"",FALSE,1,NA,""11/29/17 23:53"",TRUE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",""BJFrezell"",0,FALSE,FALSE,NA,NA";;;
"48,""Round 'em all up.";;;
Why? They do it (did it) because they can.;;;
Good men know (have ALWAYS known) it's wrong.;;;
"#MeToo https://t.co/8Hb9YAQB8a"",FALSE,0,NA,""11/29/17 23:53"",FALSE,NA,9.36e+17,NA,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",""CatherinesIdaho"",0,FALSE,FALSE,NA,NA";;;
"49,""I find it hard to this day, to even say the word.  #metoo"",FALSE,0,NA,""11/29/17 23:53"",FALSE,NA,9.36e+17,NA,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",""BekLiza"",0,FALSE,FALSE,NA,NA";;;
"50,""Every new revelation like this is another reopened wound for someone hearing it. #MeToo https://t.co/fDGWWRlSXq"",FALSE,1,NA,""11/29/17 23:53"",FALSE,NA,9.36e+17,NA,""<a href=""""http://tapbots.com/tweetbot"""" rel=""""nofollow"""">Tweetbot for iëÙS</a>"",""spikybluealien"",0,FALSE,FALSE,NA,NA";;;
